account_id,client_id,account_type,balance
125,1399,Retirement,946563.8
126,3192,Savings,345827.72
127,4356,Brokerage,595022.36
128,3299,Retirement,592717.81
129,2123,Savings,686971.69
130,1274,Brokerage,127241.99
131,3104,Brokerage,735686.95
132,434,Brokerage,639554.3
133,3033,Brokerage,777750.63
134,4987,Retirement,707079.98
135,1500,Retirement,986260.03
136,3840,Brokerage,287532.84
137,3505,Brokerage,941735.33
138,1875,Retirement,635999.61
139,713,Retirement,407108.27
140,2562,Savings,635042.0
141,629,Brokerage,240796.7
142,768,Savings,575741.38
143,693,Brokerage,286565.01
144,4038,Savings,962204.16
145,3474,Brokerage,509173.68
146,1118,Retirement,
147,4362,Brokerage,125566.89
148,114,Brokerage,190993.82
149,60,Brokerage,425553.93
150,4378,Brokerage,345715.57
151,4327,Brokerage,609584.41
152,4976,Retirement,964682.74
153,4289,Savings,175639.38
154,3007,Savings,514170.8
155,418,Retirement,496012.35
156,1397,Retirement,969758.68
157,2769,Brokerage,250515.46
158,4417,Savings,290774.67
159,3958,Retirement,265486.04
160,19,Brokerage,631545.28
161,3225,Savings,923133.31
162,4224,Savings,935478.97
163,4000,Savings,356388.32
164,3772,Retirement,299052.3
165,878,Savings,350371.98
166,1526,Retirement,355177.79
167,831,Retirement,492554.07
168,695,Brokerage,514804.28
169,1260,Retirement,124718.81
170,3993,Savings,156474.77
171,2050,Savings,471227.98
172,3067,Retirement,365131.2
173,1493,Brokerage,811732.31
174,891,Retirement,656623.37
175,3600,Savings,140734.53
176,3556,Savings,359877.51
177,1626,Savings,190377.5
178,330,Savings,395151.46
179,2714,Savings,161152.19
180,1631,Retirement,959739.15
181,2178,Savings,421674.23
182,4507,Retirement,800020.27
183,1044,Retirement,751338.82
184,3276,Brokerage,726268.56
185,3186,Savings,110623.05
186,884,Savings,126997.45
187,2820,Brokerage,14635.31
188,1938,Savings,678632.01
189,2803,Retirement,976462.09
190,66,Retirement,480712.82
191,2312,Retirement,83532.28
192,3514,Savings,617995.55
193,4189,Savings,
194,943,Retirement,994262.8
195,2027,Brokerage,820788.81
196,1626,Retirement,706754.44
197,845,Brokerage,730726.26
198,1485,Savings,992559.12
199,4844,Brokerage,634842.71
200,1880,Savings,133163.52
201,315,Retirement,990408.4
202,1198,Retirement,18643.68
203,1636,Savings,864485.76
204,3116,Retirement,525446.21
205,1896,Savings,336841.67
206,3926,Savings,510353.83
207,424,Retirement,110944.89
208,2979,Retirement,943055.75
209,3425,Savings,320521.04
210,390,Savings,41848.24
211,428,Brokerage,745009.95
212,1737,Retirement,472586.11
213,4969,Savings,431476.62
214,2067,Retirement,364217.66
215,2494,Savings,97790.33
216,112,Brokerage,552216.46
217,1068,Retirement,
218,2961,Brokerage,779029.5
219,4333,Brokerage,372220.69
220,2261,Savings,584742.89
221,715,Savings,131354.92
222,4931,Savings,41997.9
223,1561,Savings,704955.39
224,809,Savings,941876.18
225,2810,Retirement,725625.31
226,1655,Brokerage,721048.7
227,359,Savings,192515.02
228,4510,Brokerage,253272.98
229,4591,Retirement,895018.11
230,3674,Brokerage,717608.55
231,3573,Savings,483337.8
232,4291,Brokerage,791094.29
233,1368,Brokerage,274874.49
234,1057,Retirement,46399.78
235,4639,Savings,794595.99
236,1559,Brokerage,814718.97
237,4056,Brokerage,532937.38
238,4207,Savings,166352.7
239,4173,Retirement,562936.09
240,3197,Retirement,607611.16
241,1696,Savings,4596.95
242,4685,Savings,592520.64
243,73,Brokerage,455985.55
244,4302,Retirement,304106.76
245,1805,Retirement,708546.45
246,4524,Savings,171937.99
247,374,Brokerage,238978.56
248,321,Brokerage,148991.34
249,2276,Savings,271164.42
250,423,Brokerage,980043.64
251,1721,Brokerage,117068.65
252,2847,Brokerage,605554.38
253,3024,Retirement,84162.91
254,4500,Retirement,722357.51
255,3346,Brokerage,295600.44
256,470,Brokerage,816106.23
257,2913,Savings,730746.2
258,2292,Savings,256731.22
259,129,Brokerage,657660.28
260,4779,Savings,722879.59
261,3130,Brokerage,258087.82
262,4951,Brokerage,206952.85
263,3623,Savings,324938.77
264,1671,Brokerage,630170.86
265,3240,Savings,446609.85
266,3555,Retirement,149185.86
267,3925,Savings,496465.21
268,3764,Savings,815782.39
269,1443,Savings,570088.33
270,1478,Brokerage,282762.2
271,2541,Savings,885367.79
272,3230,Brokerage,608214.25
273,569,Savings,72976.64
274,2010,Retirement,909221.92
275,3298,Savings,724582.62
276,1125,Brokerage,
277,97,Brokerage,100630.21
278,3146,Savings,110925.48
279,112,Brokerage,
280,1083,Savings,770347.51
281,2193,Savings,938659.79
282,4913,Savings,792608.03
283,77,Savings,542827.8
284,2773,Brokerage,85880.23
285,1141,Retirement,759912.08
286,3640,Savings,308077.61
287,3924,Savings,244565.05
288,4453,Brokerage,268189.18
289,4454,Savings,22186.7
290,365,Savings,545097.46
291,841,Brokerage,886570.41
292,3403,Savings,2209.21
293,1838,Savings,227448.47
294,3158,Savings,353956.6
295,2350,Savings,921769.23
296,3152,Brokerage,884339.69
297,921,Retirement,170389.5
298,903,Savings,102634.52
299,2309,Retirement,
300,2734,Savings,361133.02
301,695,Savings,604901.88
302,1459,Retirement,530950.16
303,4913,Savings,679753.88
304,1231,Brokerage,687473.56
305,2352,Retirement,875526.77
306,2221,Retirement,662069.98
307,2175,Brokerage,798884.86
308,18,Savings,778006.26
309,1201,Retirement,148632.4
310,3660,Brokerage,797053.89
311,3920,Savings,114050.87
312,3502,Brokerage,279197.67
313,741,Retirement,994776.91
314,1490,Retirement,353256.15
315,4049,Retirement,
316,3392,Brokerage,793708.09
317,2732,Savings,802338.79
318,2015,Retirement,419240.97
319,4073,Brokerage,534236.88
320,4363,Brokerage,
321,3151,Savings,581382.97
322,3456,Brokerage,578298.56
323,1797,Brokerage,88162.97
324,2964,Savings,204076.39
325,141,Retirement,558816.09
326,1095,Savings,60517.81
327,2862,Retirement,848902.75
328,1142,Retirement,460928.0
329,4518,Retirement,243254.91
330,1840,Savings,747248.37
331,961,Brokerage,704258.89
332,3093,Brokerage,27320.54
333,3480,Retirement,55029.26
334,869,Brokerage,582025.47
335,3907,Brokerage,870606.5
336,248,Savings,365878.97
337,648,Savings,77988.23
338,4663,Retirement,150567.51
339,1495,Retirement,743814.38
340,4321,Brokerage,948817.0
341,3852,Retirement,722834.86
342,3638,Brokerage,695551.78
343,2350,Savings,156731.45
344,264,Brokerage,751381.8
345,4123,Savings,11856.71
346,3471,Brokerage,948293.72
347,3722,Brokerage,711695.36
348,2114,Brokerage,502370.57
349,1863,Retirement,931518.78
350,2227,Savings,521979.54
351,1026,Brokerage,212652.38
352,459,Savings,392898.67
353,4582,Brokerage,
354,3838,Retirement,313876.47
355,3319,Retirement,165659.54
356,3044,Brokerage,424797.67
357,2212,Savings,
358,2972,Brokerage,779018.46
359,2749,Savings,240290.39
360,1334,Brokerage,107358.08
361,1736,Brokerage,11966.04
362,2533,Savings,552139.69
363,266,Savings,269898.84
364,4671,Brokerage,45829.66
365,3964,Savings,49000.85
366,764,Retirement,9470.25
367,2922,Retirement,958780.28
368,4098,Savings,315157.97
369,3201,Brokerage,356481.46
370,1062,Brokerage,675011.73
371,2715,Retirement,896614.67
372,4126,Savings,502674.94
373,1231,Savings,587588.33
374,3131,Retirement,586771.85
375,307,Retirement,162061.78
376,3794,Savings,885318.67
377,765,Brokerage,
378,1767,Brokerage,654565.93
379,1320,Brokerage,516784.5
380,4987,Brokerage,523763.8
381,2797,Retirement,785566.51
382,2778,Retirement,360956.04
383,3530,Savings,890789.25
384,3176,Savings,209611.82
385,4972,Savings,958057.64
386,4645,Brokerage,
387,798,Savings,143479.9
388,2536,Brokerage,867666.14
389,715,Retirement,95019.88
390,2570,Savings,934121.92
391,1323,Savings,280837.21
392,2977,Retirement,90140.01
393,1468,Brokerage,772168.57
394,2114,Retirement,
395,3622,Brokerage,
396,1016,Brokerage,488770.74
397,2978,Retirement,401538.28
398,1057,Retirement,367365.53
399,2570,Retirement,84407.06
400,3385,Brokerage,450642.18
401,350,Brokerage,977454.21
402,468,Brokerage,790800.05
403,4595,Savings,155407.67
404,863,Retirement,376445.87
405,4671,Retirement,853975.36
406,1828,Retirement,874284.73
407,766,Retirement,466411.72
408,4384,Retirement,110009.93
409,1477,Brokerage,109239.98
410,3252,Retirement,200271.53
411,2693,Savings,317967.58
412,4951,Retirement,213422.55
413,3902,Savings,279096.69
414,314,Brokerage,156585.38
415,3850,Savings,640576.17
416,2623,Brokerage,32291.93
417,4925,Retirement,63337.86
418,2962,Retirement,
419,1749,Savings,212281.39
420,188,Brokerage,423497.43
421,2065,Brokerage,176929.51
422,1162,Savings,274631.41
423,670,Retirement,873902.11
424,3699,Retirement,525253.17
425,2126,Savings,830718.54
426,758,Retirement,342677.13
427,2433,Savings,199406.7
428,3434,Retirement,476023.92
429,1317,Brokerage,437347.2
430,4673,Retirement,823192.68
431,4595,Brokerage,199361.42
432,4739,Brokerage,145472.62
433,2593,Savings,151355.77
434,3758,Savings,499946.22
435,2593,Savings,792224.8
436,3330,Retirement,
437,31,Retirement,943380.42
438,1030,Brokerage,449879.32
439,4739,Savings,37449.49
440,1538,Retirement,696749.64
441,1361,Brokerage,378179.01
442,2852,Savings,952424.5
443,4726,Savings,370886.16
444,2981,Savings,302642.53
445,2515,Brokerage,819232.47
446,1022,Brokerage,499631.53
447,3736,Retirement,410976.42
448,2886,Brokerage,426423.35
449,2752,Savings,926422.51
450,3759,Retirement,
451,4529,Brokerage,163494.48
452,3571,Retirement,285742.91
453,3584,Brokerage,283965.11
454,813,Savings,806133.82
455,851,Savings,649974.96
456,3370,Savings,496908.52
457,4463,Savings,633891.63
458,4124,Brokerage,806064.77
459,2375,Retirement,212659.26
460,3725,Brokerage,
461,1603,Retirement,950600.94
462,2873,Retirement,413521.81
463,3243,Savings,939677.19
464,1835,Brokerage,284320.82
465,2167,Retirement,838645.69
466,3398,Brokerage,242312.88
467,3397,Savings,16514.53
468,1257,Retirement,840928.86
469,4252,Brokerage,
470,2746,Savings,959201.43
471,3523,Savings,556183.84
472,3207,Savings,616651.65
473,3223,Savings,801530.31
474,4734,Retirement,129741.59
475,3199,Brokerage,174543.55
476,2607,Brokerage,159285.21
477,1893,Savings,710314.84
478,1035,Brokerage,119254.36
479,4727,Retirement,843187.7
480,2132,Brokerage,159894.12
481,2642,Savings,94161.17
482,211,Retirement,12526.58
483,4861,Savings,28790.52
484,4454,Savings,572222.04
485,208,Brokerage,734434.99
486,3717,Brokerage,631870.29
487,2934,Savings,240482.16
488,1817,Retirement,194635.09
489,2010,Brokerage,780248.92
490,3098,Retirement,659598.44
491,2253,Savings,935040.92
492,190,Brokerage,984813.04
493,848,Savings,459668.6
494,4882,Savings,107969.58
495,2314,Retirement,894710.18
496,761,Savings,494750.81
497,2961,Savings,391409.41
498,4023,Savings,414331.38
499,3986,Brokerage,77236.37
500,3440,Retirement,889823.81
501,3694,Savings,180626.63
502,84,Savings,660006.73
503,4970,Savings,118089.93
504,2809,Retirement,484427.08
505,4916,Brokerage,6009.54
506,4275,Brokerage,255246.52
507,997,Savings,606504.66
508,4391,Savings,518476.93
509,1249,Savings,867007.38
510,941,Savings,30468.12
511,1136,Savings,84359.32
512,1037,Retirement,274392.82
513,1633,Savings,349204.83
514,4518,Brokerage,295026.56
515,4062,Retirement,513143.89
516,3277,Savings,250843.06
517,1622,Brokerage,
518,2303,Retirement,103791.71
519,4814,Retirement,166487.46
520,1687,Brokerage,488343.96
521,3655,Retirement,596733.45
522,2226,Retirement,623288.05
523,4975,Retirement,429883.66
524,4647,Retirement,374586.53
525,527,Retirement,168081.8
526,277,Brokerage,253810.6
527,3358,Retirement,604278.21
528,4346,Retirement,398908.36
529,940,Savings,809231.43
530,3518,Savings,358386.77
531,596,Savings,657297.66
532,3048,Savings,779735.04
533,1002,Savings,319270.55
534,90,Brokerage,329540.52
535,3813,Brokerage,795444.18
536,1906,Brokerage,67168.91
537,2324,Brokerage,212962.99
538,1782,Savings,561397.74
539,4980,Brokerage,75749.37
540,3455,Brokerage,756445.0
541,2604,Retirement,198952.26
542,407,Retirement,499152.32
543,2249,Retirement,120139.76
544,3710,Savings,601829.25
545,4843,Retirement,237185.5
546,175,Retirement,18818.46
547,4717,Savings,911731.5
548,2330,Savings,841801.22
549,3300,Savings,895933.7
550,4322,Savings,338052.48
551,134,Savings,470423.46
552,3401,Brokerage,301697.27
553,2599,Retirement,400944.0
554,4559,Retirement,
555,386,Retirement,299145.37
556,3724,Retirement,848823.64
557,995,Retirement,937766.05
558,842,Savings,224790.34
559,86,Savings,106030.56
560,2645,Brokerage,724529.11
561,1855,Savings,88928.7
562,3022,Brokerage,989575.46
563,431,Retirement,883436.03
564,353,Savings,
565,2493,Savings,264463.4
566,3110,Retirement,698966.17
567,1129,Brokerage,461233.07
568,1035,Retirement,862033.0
569,4786,Retirement,637266.74
570,1003,Brokerage,528061.34
571,4735,Retirement,661607.71
572,2299,Retirement,772871.33
573,3955,Savings,92707.57
574,2427,Brokerage,83711.48
575,4576,Savings,
576,1687,Brokerage,78938.71
577,4052,Savings,213263.0
578,1771,Retirement,818692.93
579,1540,Retirement,105430.18
580,1710,Brokerage,761840.93
581,4211,Retirement,760727.47
582,2555,Brokerage,454567.94
583,1262,Brokerage,106554.81
584,1066,Savings,916780.55
585,3159,Retirement,867990.93
586,4207,Savings,780241.04
587,1540,Savings,278560.6
588,1346,Brokerage,307839.63
589,4729,Brokerage,102962.29
590,3777,Savings,745280.97
591,1971,Savings,894203.96
592,1533,Retirement,29557.66
593,4350,Retirement,352604.87
594,970,Brokerage,84982.7
595,3535,Savings,
596,4114,Retirement,508418.9
597,436,Retirement,273316.28
598,802,Savings,648973.13
599,3462,Savings,294711.89
600,3299,Savings,594455.12
601,4339,Brokerage,494122.61
602,3552,Savings,681479.36
603,2040,Savings,
604,436,Savings,575655.27
605,1956,Savings,532599.59
606,2257,Savings,882717.69
607,3315,Retirement,
608,1802,Brokerage,824244.59
609,2198,Retirement,206499.67
610,1668,Retirement,637262.31
611,4885,Retirement,734148.39
612,773,Savings,503736.91
613,3906,Brokerage,306018.86
614,1955,Savings,315797.39
615,569,Savings,188157.07
616,3730,Savings,962280.79
617,3888,Retirement,334720.1
618,1455,Retirement,881376.27
619,1399,Brokerage,760500.49
620,80,Brokerage,352791.5
621,3882,Brokerage,2005.47
622,2028,Retirement,110276.61
623,143,Brokerage,680366.21
624,2382,Savings,525743.92
625,1371,Savings,775481.3
626,820,Retirement,804088.73
627,2750,Retirement,491171.19
628,2874,Brokerage,258082.17
629,3986,Retirement,364925.04
630,112,Retirement,301832.9
631,2734,Brokerage,
632,4881,Retirement,113648.31
633,4255,Brokerage,640160.51
634,1212,Retirement,856409.26
635,1161,Retirement,498334.4
636,2002,Brokerage,741271.42
637,3529,Retirement,207101.21
638,732,Savings,920726.61
639,3095,Brokerage,
640,2244,Brokerage,679122.72
641,3681,Brokerage,175777.3
642,2858,Retirement,391635.2
643,3419,Retirement,310013.97
644,337,Brokerage,520557.66
645,2813,Brokerage,123838.3
646,3728,Brokerage,968184.88
647,2843,Retirement,111080.39
648,69,Retirement,927305.8
649,1206,Retirement,681242.15
650,4286,Retirement,624171.34
651,1333,Retirement,487337.97
652,530,Retirement,16576.81
653,336,Savings,283734.28
654,4859,Savings,54140.09
655,2506,Savings,430892.51
656,6,Savings,252182.03
657,2869,Retirement,785478.04
658,4113,Brokerage,958565.77
659,4594,Savings,953731.57
660,2218,Savings,995918.34
661,1612,Retirement,585639.61
662,662,Retirement,219638.91
663,3877,Retirement,249479.78
664,3165,Retirement,399714.49
665,804,Retirement,920273.93
666,4891,Retirement,174128.67
667,3571,Brokerage,876056.47
668,4737,Savings,683637.86
669,1635,Retirement,136555.06
670,4541,Savings,301761.2
671,702,Retirement,567098.42
672,3778,Brokerage,184188.8
673,3580,Savings,
674,3621,Brokerage,313947.2
675,2930,Retirement,354839.65
676,3822,Retirement,961485.47
677,3779,Savings,912645.73
678,217,Retirement,89340.56
679,1152,Brokerage,906941.93
680,1988,Brokerage,512694.59
681,1043,Brokerage,543726.28
682,4634,Retirement,54482.49
683,3217,Savings,403539.18
684,49,Retirement,807673.55
685,4244,Retirement,839358.84
686,694,Savings,270904.67
687,877,Retirement,594745.34
688,2381,Brokerage,481986.43
689,2715,Savings,122321.24
690,4790,Brokerage,511310.05
691,435,Brokerage,205859.39
692,1181,Brokerage,740683.69
693,4058,Savings,224320.04
694,1268,Retirement,628611.22
695,53,Retirement,624040.26
696,1645,Savings,68074.92
697,1254,Brokerage,880019.16
698,4259,Savings,247958.88
699,849,Retirement,25631.73
700,4144,Retirement,391323.18
701,998,Retirement,405152.78
702,1508,Savings,841879.08
703,4479,Retirement,821864.77
704,3598,Brokerage,617541.36
705,3542,Savings,636560.97
706,1514,Savings,818731.55
707,1972,Savings,512003.48
708,4479,Savings,476682.24
709,2376,Retirement,667867.99
710,4824,Retirement,367972.07
711,2255,Retirement,386434.97
712,880,Retirement,417479.57
713,3481,Savings,28942.69
714,3745,Savings,564644.88
715,91,Brokerage,303458.81
716,3642,Savings,908200.23
717,2906,Savings,468439.2
718,3755,Retirement,10110.94
719,1297,Retirement,501137.74
720,4123,Savings,349485.25
721,4302,Retirement,513532.11
722,1430,Brokerage,152251.31
723,4614,Retirement,460022.26
724,1148,Retirement,785175.98
725,2482,Retirement,69141.9
726,3963,Retirement,962592.45
727,4964,Brokerage,181194.16
728,4154,Brokerage,525908.47
729,1061,Brokerage,324752.54
730,4758,Retirement,584908.73
731,3308,Savings,45884.2
732,1304,Savings,97443.9
733,871,Retirement,934299.68
734,3903,Retirement,760149.37
735,1939,Savings,
736,1426,Brokerage,892580.38
737,3442,Savings,62864.72
738,2052,Savings,38380.86
739,598,Retirement,763588.6
740,4969,Brokerage,840838.68
741,1426,Retirement,108553.35
742,3683,Retirement,134083.43
743,4701,Brokerage,200534.69
744,2069,Retirement,438077.34
745,2344,Savings,201991.55
746,1328,Retirement,814023.9
747,1576,Savings,
748,789,Savings,34205.95
749,1152,Savings,
750,3343,Brokerage,547034.26
751,590,Retirement,186119.05
752,4327,Retirement,190946.76
753,1700,Brokerage,827748.16
754,4103,Retirement,357128.71
755,4577,Savings,801794.29
756,3596,Retirement,625845.23
757,581,Brokerage,79065.66
758,4238,Retirement,101812.09
759,4086,Savings,52427.53
760,4429,Retirement,23519.94
761,2375,Retirement,391035.98
762,2932,Savings,872570.09
763,1294,Retirement,75702.35
764,4714,Savings,853342.02
765,4097,Retirement,399820.44
766,465,Brokerage,697820.39
767,909,Brokerage,471507.73
768,2155,Brokerage,
769,2770,Retirement,261620.22
770,2741,Savings,140149.34
771,4482,Brokerage,330279.56
772,511,Savings,494061.56
773,4620,Brokerage,703387.74
774,290,Retirement,
775,3410,Brokerage,739550.1
776,661,Brokerage,
777,1061,Retirement,723606.45
778,853,Savings,497100.12
779,1846,Brokerage,350907.43
780,3913,Retirement,
781,1866,Savings,
782,216,Savings,534651.68
783,3108,Brokerage,683911.47
784,149,Brokerage,482691.17
785,3172,Retirement,695745.09
786,3521,Brokerage,427406.75
787,1129,Savings,438514.9
788,3013,Retirement,194451.98
789,3577,Savings,238932.04
790,754,Brokerage,11039.6
791,3384,Brokerage,752816.49
792,4393,Brokerage,46733.94
793,123,Brokerage,250672.48
794,466,Savings,57597.93
795,3593,Savings,283313.38
796,2574,Retirement,602813.6
797,2001,Retirement,130586.53
798,3259,Retirement,657925.24
799,630,Savings,250948.66
800,4454,Savings,495434.32
801,2925,Savings,444098.3
802,2480,Retirement,780428.2
803,2398,Brokerage,244961.59
804,2192,Retirement,698073.92
805,4125,Savings,54943.54
806,3366,Brokerage,950612.89
807,3984,Retirement,79367.63
808,1124,Brokerage,231305.39
809,4530,Savings,123625.3
810,1163,Savings,977931.79
811,3607,Brokerage,764427.79
812,936,Savings,499408.58
813,277,Retirement,278689.36
814,3148,Retirement,827351.67
815,693,Savings,279813.39
816,4996,Retirement,495862.14
817,3135,Retirement,444575.72
818,1839,Savings,379947.65
819,3532,Brokerage,53207.39
820,2500,Savings,542007.62
821,2850,Savings,910143.95
822,2755,Retirement,810433.44
823,4842,Savings,757494.96
824,2794,Brokerage,829410.22
825,3556,Retirement,782830.07
826,468,Savings,553740.87
827,2355,Brokerage,464039.03
828,4691,Brokerage,568734.75
829,4251,Retirement,163386.32
830,3124,Retirement,745888.24
831,1952,Savings,907804.88
832,2300,Brokerage,951016.26
833,701,Savings,771567.87
834,2424,Retirement,571511.55
835,317,Brokerage,274995.61
836,2202,Brokerage,251262.76
837,4981,Savings,125182.11
838,4657,Brokerage,321668.4
839,2167,Savings,444364.88
840,142,Retirement,9861.83
841,304,Retirement,480727.7
842,4560,Savings,409202.28
843,4748,Savings,277169.23
844,5000,Brokerage,314712.51
845,525,Retirement,180624.11
846,2263,Retirement,869186.32
847,1043,Savings,630707.84
848,1204,Brokerage,656322.17
849,1907,Savings,654946.23
850,1510,Brokerage,507212.47
851,3608,Brokerage,318017.1
852,4534,Brokerage,228724.47
853,2123,Retirement,17102.06
854,2895,Brokerage,718600.98
855,4920,Savings,350379.92
856,635,Brokerage,444368.87
857,4187,Savings,237741.73
858,2669,Brokerage,371988.0
859,3408,Savings,642245.14
860,2320,Savings,25669.91
861,4973,Retirement,335650.8
862,3344,Brokerage,375340.89
863,2409,Brokerage,32126.25
864,3018,Savings,291581.76
865,1230,Brokerage,26509.75
866,4990,Savings,808226.18
867,4185,Brokerage,781092.88
868,4164,Brokerage,713127.4
869,1761,Retirement,830896.04
870,268,Brokerage,726533.5
871,3122,Brokerage,79366.53
872,634,Savings,565836.98
873,4706,Brokerage,548684.8
874,3425,Brokerage,733312.62
875,4324,Savings,607494.91
876,4297,Brokerage,441576.4
877,2206,Savings,836172.93
878,2401,Savings,329355.82
879,2966,Savings,456365.35
880,946,Brokerage,241805.43
881,3359,Retirement,80610.38
882,4592,Brokerage,77367.32
883,2968,Brokerage,484670.36
884,1888,Retirement,786517.84
885,1883,Brokerage,827993.28
886,1027,Brokerage,245698.99
887,3340,Brokerage,585170.58
888,1132,Brokerage,261018.67
889,2351,Retirement,314530.49
890,668,Retirement,421601.57
891,1216,Brokerage,494706.03
892,1623,Savings,876529.29
893,128,Savings,121668.06
894,2158,Brokerage,711670.49
895,3850,Brokerage,101894.37
896,280,Retirement,24907.53
897,1368,Savings,133245.38
898,4337,Retirement,904356.13
899,2903,Savings,402915.19
900,4563,Savings,712271.53
901,976,Retirement,897528.89
902,2758,Brokerage,609148.68
903,883,Brokerage,46192.46
904,2908,Retirement,910763.55
905,3685,Brokerage,834969.87
906,2370,Retirement,700413.58
907,1503,Brokerage,
908,4173,Savings,153104.14
909,64,Brokerage,593455.23
910,3716,Retirement,321116.44
911,1448,Brokerage,722810.65
912,2289,Savings,233031.28
913,4042,Retirement,49239.66
914,4241,Brokerage,580248.38
915,3496,Retirement,323477.27
916,2610,Savings,
917,344,Brokerage,882501.78
918,1726,Retirement,519615.84
919,4712,Brokerage,315053.02
920,2846,Retirement,
921,2359,Retirement,
922,1833,Savings,289190.34
923,2126,Brokerage,753715.34
924,1898,Brokerage,279350.08
925,787,Savings,552611.28
926,4168,Savings,28322.77
927,326,Brokerage,538378.01
928,1599,Savings,488877.53
929,212,Retirement,203937.8
930,4679,Retirement,732357.33
931,4268,Savings,831206.78
932,2417,Savings,716534.66
933,983,Retirement,888990.88
934,4041,Retirement,87776.97
935,1121,Retirement,731902.11
936,955,Retirement,803837.44
937,1823,Brokerage,75275.98
938,1284,Brokerage,336001.83
939,3715,Brokerage,735786.22
940,607,Brokerage,688249.64
941,315,Retirement,101338.36
942,4271,Retirement,
943,4573,Brokerage,837797.4
944,292,Brokerage,627657.76
945,2015,Savings,586757.03
946,1804,Brokerage,196482.62
947,3852,Savings,485022.66
948,1533,Brokerage,497229.68
949,1080,Savings,635137.95
950,727,Brokerage,857299.64
951,1755,Savings,434884.46
952,4020,Brokerage,611605.97
953,1460,Savings,418741.19
954,2156,Brokerage,380909.94
955,4784,Savings,638076.91
956,3967,Brokerage,657284.03
957,1476,Retirement,840851.16
958,2394,Brokerage,485574.89
