security_name,date,closing_price
Apple,2015-02-22,848.19
Apple,2017-09-01,195.98
Google,2022-09-18,60.47
Microsoft,2023-01-07,250.4
Tesla,2020-02-01,711.22
Google,2017-05-08,1901.81
Microsoft,2017-03-07,214.79
Microsoft,2014-05-13,61.7
Tesla,2022-08-19,1431.51
Apple,2022-10-31,1978.83
Microsoft,2022-11-17,1451.69
Netflix,2018-07-09,647.19
Apple,2020-03-18,385.95
Google,2022-06-30,1379.86
Amazon,2024-07-10,1735.61
Google,2018-11-12,1991.81
Netflix,2022-05-26,513.83
Netflix,2014-12-01,57.04
Tesla,2020-08-13,926.31
Microsoft,2021-07-02,970.45
Tesla,2014-01-30,142.11
Google,2019-11-28,1685.73
Apple,2014-01-08,774.95
Netflix,2014-03-28,64.66
Netflix,2020-07-11,621.9
Netflix,2023-05-20,964.4
Netflix,2020-09-22,702.15
Microsoft,2016-12-22,1642.68
Microsoft,2021-08-18,1860.94
Microsoft,2017-09-28,1047.98
Netflix,2022-06-19,77.68
Netflix,2019-08-13,542.84
Apple,2016-04-21,1417.45
Tesla,2014-01-01,152.93
Apple,2024-01-14,1667.94
Google,2014-11-10,205.02
Google,2021-01-26,79.22
Netflix,2018-05-23,1297.03
Microsoft,2015-04-24,1293.27
Amazon,2018-02-09,215.77
Google,2020-05-19,1937.14
Microsoft,2022-05-02,1881.57
Amazon,2023-08-15,1285.58
Apple,2024-10-25,569.82
Netflix,2022-02-28,1390.2
Apple,2019-08-16,1231.11
Apple,2019-03-02,1480.83
Apple,2014-12-28,325.1
Microsoft,2020-01-19,1204.98
Apple,2017-04-13,1582.24
Google,2015-05-29,287.97
Netflix,2024-05-20,916.71
Microsoft,2018-07-17,1080.35
Tesla,2014-08-22,660.76
Tesla,2024-06-27,1794.11
Tesla,2020-06-22,1414.99
Netflix,2021-11-10,1870.57
Apple,2024-02-05,702.06
Microsoft,2018-08-18,1289.54
Apple,2024-04-08,1338.19
Apple,2020-03-14,1174.1
Netflix,2024-01-19,826.52
Apple,2017-10-02,621.22
Tesla,2020-11-07,476.85
Apple,2022-08-27,1825.6
Apple,2016-05-24,783.4
Netflix,2018-10-11,1317.75
Google,2024-12-05,1856.85
Tesla,2018-01-07,1586.06
Microsoft,2018-11-26,1505.04
Apple,2017-04-01,477.77
Amazon,2015-10-05,1573.4
Google,2023-01-13,1732.43
Microsoft,2014-03-04,1568.34
Microsoft,2017-01-10,1375.64
Google,2015-03-20,1329.11
Amazon,2017-04-14,529.44
Netflix,2014-05-23,986.88
Tesla,2023-12-01,395.79
Tesla,2016-07-05,1169.7
Netflix,2019-06-16,1929.67
Google,2021-05-01,1657.35
Tesla,2021-06-05,779.71
Netflix,2024-11-13,794.72
Microsoft,2020-07-24,1431.93
Netflix,2018-01-29,420.88
Netflix,2015-08-08,1217.64
Apple,2022-07-01,1587.81
Tesla,2018-09-29,1003.47
Netflix,2018-05-19,393.58
Amazon,2018-02-03,1492.95
Amazon,2023-06-16,573.7
Apple,2021-04-12,518.9
Microsoft,2014-10-12,1372.69
Tesla,2022-03-09,1207.73
Amazon,2017-07-04,666.07
Netflix,2014-09-17,1149.31
Amazon,2017-04-13,896.32
Netflix,2015-12-16,64.68
Netflix,2021-05-29,1869.05
Amazon,2017-12-10,492.84
Tesla,2023-08-10,1767.55
Apple,2020-03-02,23.55
Amazon,2024-01-10,1683.85
Amazon,2015-12-19,871.67
Netflix,2015-10-30,1204.41
Apple,2022-07-16,722.65
Amazon,2024-08-16,1632.57
Microsoft,2023-08-19,595.36
Microsoft,2020-07-29,1549.79
Amazon,2015-06-24,1844.12
Microsoft,2022-12-27,516.75
Tesla,2019-03-03,891.51
Netflix,2023-04-03,445.41
Netflix,2017-04-23,1263.71
Netflix,2017-07-27,921.45
Apple,2016-11-12,1460.03
Apple,2022-06-25,1011.48
Amazon,2024-01-09,279.97
Netflix,2017-06-16,866.77
Apple,2014-10-07,1133.51
Netflix,2022-05-14,989.73
Netflix,2023-03-22,1304.46
Netflix,2017-03-25,1186.85
Amazon,2014-09-28,1315.88
Google,2014-11-07,558.26
Tesla,2021-06-11,772.1
Tesla,2020-10-28,326.42
Microsoft,2020-01-20,543.65
Google,2017-04-13,487.5
Microsoft,2017-09-28,1763.86
Amazon,2020-04-04,1004.98
Microsoft,2020-08-12,470.63
Tesla,2022-01-29,1707.47
Apple,2016-06-28,1997.76
Google,2016-09-08,793.84
Microsoft,2018-12-15,78.53
Apple,2017-09-03,141.12
Amazon,2023-01-28,1409.24
Tesla,2017-07-07,713.58
Google,2024-08-02,393.85
Amazon,2022-09-03,347.88
Microsoft,2023-06-18,1523.3
Google,2023-11-04,1203.38
Google,2016-10-31,457.57
Tesla,2018-05-23,1323.47
Apple,2014-12-03,214.47
Microsoft,2023-09-14,1183.14
Google,2016-01-18,1898.07
Amazon,2016-02-02,1956.31
Tesla,2015-09-06,613.53
Amazon,2020-11-16,1747.89
Tesla,2014-04-07,1422.47
Netflix,2024-07-05,1692.35
Apple,2015-11-09,766.0
Tesla,2019-01-03,566.6
Netflix,2019-11-24,959.55
Amazon,2017-07-16,1042.17
Google,2014-03-18,1938.25
Apple,2024-07-17,115.81
Microsoft,2023-11-13,1254.53
Tesla,2020-10-30,81.38
Google,2019-12-15,1554.18
Amazon,2018-06-27,850.2
Apple,2017-04-08,1389.57
Microsoft,2015-08-08,1091.18
Apple,2021-09-14,606.25
Google,2019-06-03,1418.14
Amazon,2017-12-22,310.79
Apple,2014-09-09,166.99
Google,2019-09-20,832.57
Netflix,2024-10-29,1194.36
Google,2022-06-05,996.76
Tesla,2022-05-23,1582.73
Amazon,2020-07-06,1193.53
Tesla,2024-03-27,1701.91
Netflix,2023-05-17,761.59
Tesla,2020-04-24,371.24
Google,2014-07-25,703.59
Google,2014-10-28,579.95
Tesla,2014-07-01,1756.38
Apple,2021-11-02,1574.75
Netflix,2017-06-09,1279.77
Amazon,2020-01-26,1262.75
Amazon,2024-07-13,471.08
Microsoft,2014-05-31,1075.49
Tesla,2014-06-05,851.16
Google,2022-01-11,925.95
Apple,2019-03-01,1029.06
Tesla,2014-11-25,921.79
Google,2015-12-18,1672.28
Google,2024-11-04,176.19
Amazon,2016-08-31,631.21
Apple,2017-11-14,1486.71
Microsoft,2021-03-23,69.72
Amazon,2020-07-13,852.65
Amazon,2020-06-21,928.67
Microsoft,2019-02-14,186.84
Tesla,2023-11-23,1340.23
Amazon,2016-08-16,1591.92
Tesla,2021-09-23,742.08
Apple,2019-10-18,1540.84
Tesla,2022-12-19,85.06
Google,2016-12-07,1908.6
Amazon,2014-10-14,1857.05
Tesla,2021-01-15,230.82
Microsoft,2018-02-18,1140.66
Google,2020-07-16,135.71
Microsoft,2021-02-10,1259.7
Apple,2015-05-08,1201.09
Tesla,2022-06-14,728.25
Google,2015-04-21,109.45
Google,2022-08-17,298.08
Google,2021-08-15,1977.64
Apple,2022-09-24,920.47
Microsoft,2023-09-17,696.48
Tesla,2018-06-20,1134.74
Google,2020-07-09,1528.38
Amazon,2019-11-24,546.64
Apple,2016-12-03,1391.87
Tesla,2023-10-16,1763.26
Amazon,2024-01-21,836.25
Microsoft,2014-05-08,22.95
Tesla,2019-01-20,1944.54
Netflix,2017-08-07,1152.44
Tesla,2021-03-22,835.05
Microsoft,2021-07-17,1175.2
Tesla,2023-06-17,1649.82
Netflix,2016-04-25,1452.09
Google,2014-12-21,122.8
Amazon,2020-09-27,828.33
Microsoft,2015-06-04,916.13
Microsoft,2021-09-02,1826.26
Google,2019-06-30,392.97
Tesla,2020-11-05,1035.44
Microsoft,2023-09-24,702.64
Netflix,2023-01-01,1424.65
Netflix,2021-11-25,119.76
Google,2022-11-29,1089.16
Google,2021-02-20,449.75
Amazon,2017-05-25,1303.45
Netflix,2020-10-28,1583.29
Microsoft,2021-06-23,531.21
Tesla,2014-09-26,261.79
Tesla,2021-09-27,727.43
Netflix,2016-07-20,154.39
Amazon,2019-04-15,1814.78
Google,2016-01-02,729.73
Microsoft,2017-03-23,1414.92
Apple,2017-03-18,1668.08
Apple,2019-02-15,899.91
Tesla,2018-05-15,377.52
Microsoft,2019-11-05,1181.82
Apple,2017-06-02,1139.69
Tesla,2021-12-27,876.26
Microsoft,2021-01-09,884.31
Microsoft,2014-12-11,1648.6
Amazon,2022-01-14,1487.43
Tesla,2022-01-07,260.75
Amazon,2019-08-08,1717.37
Netflix,2019-06-14,1995.74
Google,2021-03-19,874.63
Google,2016-07-12,257.7
Netflix,2016-12-06,1157.75
Google,2024-08-09,1793.08
Google,2017-01-06,1261.04
Google,2017-07-22,1117.45
Google,2022-02-05,39.67
Amazon,2020-03-29,1744.37
Tesla,2016-11-30,1338.73
Tesla,2021-07-24,576.19
Google,2022-01-30,1414.85
Netflix,2024-06-12,1906.64
Google,2021-07-26,1893.34
Netflix,2019-05-12,1681.68
Apple,2022-12-08,570.33
Amazon,2022-10-12,987.29
Apple,2021-12-26,571.74
Google,2014-02-11,880.0
Apple,2021-05-16,715.11
Amazon,2018-10-14,75.41
Microsoft,2019-04-14,1441.32
Apple,2024-04-06,774.75
Tesla,2015-03-30,60.31
Apple,2017-12-14,1393.61
Microsoft,2016-10-20,664.8
Apple,2014-11-30,438.54
Apple,2016-04-17,720.87
Amazon,2017-09-28,1092.64
Tesla,2022-04-26,357.18
Netflix,2019-06-19,141.08
Netflix,2024-11-22,52.74
Microsoft,2020-04-23,407.2
Google,2022-12-05,151.05
Tesla,2021-08-15,686.89
Microsoft,2020-09-04,446.87
Tesla,2021-10-15,92.23
Apple,2020-07-27,1221.64
Netflix,2014-03-25,1860.63
Tesla,2015-12-09,1913.89
Apple,2021-08-06,1849.94
Amazon,2016-11-23,1540.95
Google,2024-08-31,531.94
Google,2015-04-01,388.91
Amazon,2024-06-16,1270.89
Microsoft,2023-04-03,1728.33
Apple,2016-08-11,237.32
Google,2015-03-20,1880.52
Tesla,2023-09-06,1811.08
Tesla,2022-07-10,1372.12
Tesla,2017-06-17,1589.28
Google,2024-06-15,1410.14
Apple,2021-06-03,428.0
Netflix,2016-03-10,358.11
Amazon,2015-06-20,1145.91
Amazon,2021-05-18,160.36
Tesla,2019-10-18,1035.66
Netflix,2022-07-01,143.23
Amazon,2021-01-23,277.13
Netflix,2022-07-27,64.59
Tesla,2022-10-13,1014.05
Netflix,2024-07-27,17.5
Microsoft,2022-09-05,1536.67
Amazon,2023-07-06,409.93
Amazon,2017-07-29,256.63
Microsoft,2017-10-02,628.53
Apple,2021-08-11,1266.97
Amazon,2020-02-08,114.85
Microsoft,2021-08-13,333.76
Apple,2020-09-23,1471.57
Microsoft,2024-08-20,783.18
Microsoft,2015-05-07,368.9
Netflix,2015-11-06,804.02
Amazon,2022-12-09,1752.82
Tesla,2016-12-05,1514.19
Google,2024-08-30,1142.25
Tesla,2015-05-15,823.62
Microsoft,2014-02-13,358.62
Amazon,2019-09-14,1771.14
Amazon,2024-06-25,1460.17
Amazon,2022-06-12,25.81
Microsoft,2022-08-17,1780.33
Microsoft,2015-03-03,480.82
Google,2019-05-17,159.36
Google,2017-10-11,360.24
Amazon,2022-08-25,258.73
Netflix,2016-11-14,499.16
Apple,2020-04-27,670.91
Microsoft,2019-05-17,924.73
Google,2017-10-28,1035.08
Google,2018-05-14,1849.15
Google,2020-12-13,731.37
Amazon,2015-05-17,251.74
Tesla,2024-10-09,897.34
Google,2021-05-01,1925.34
Apple,2024-01-18,211.52
Tesla,2019-07-19,1901.22
Google,2014-07-26,1462.47
Microsoft,2014-11-26,1237.14
Microsoft,2019-10-04,364.58
Amazon,2018-04-10,1690.73
Tesla,2014-03-18,746.03
Tesla,2016-12-24,1242.16
Tesla,2019-09-26,948.03
Netflix,2016-05-18,1034.62
Netflix,2014-04-19,322.73
Netflix,2019-03-20,1654.16
Tesla,2020-01-22,1310.91
Amazon,2021-11-09,1060.39
Tesla,2023-11-16,1040.83
Google,2018-09-24,690.55
Netflix,2021-10-05,278.6
Amazon,2018-11-07,1560.08
Tesla,2024-10-06,1685.57
Tesla,2022-08-06,551.0
Tesla,2015-06-11,706.52
Apple,2020-07-27,783.22
Microsoft,2018-01-24,497.17
Google,2020-09-26,1929.47
Apple,2015-08-17,751.69
Microsoft,2021-06-11,1925.55
Microsoft,2016-07-28,1668.75
Apple,2024-01-09,1631.44
Netflix,2020-06-20,906.69
Amazon,2022-06-13,721.32
Apple,2015-03-29,743.84
Google,2021-07-01,370.53
Microsoft,2023-04-19,739.68
Tesla,2018-05-20,1050.69
Netflix,2019-12-16,1334.54
Tesla,2024-09-13,1909.59
Apple,2018-08-18,1103.58
Apple,2024-03-28,54.07
Tesla,2017-07-17,1457.65
Tesla,2024-07-09,1595.37
Netflix,2019-02-28,98.64
Netflix,2018-11-19,1231.22
Netflix,2019-04-03,1043.24
Tesla,2021-10-06,1514.2
Netflix,2022-02-14,1562.27
Amazon,2016-05-05,1719.24
Apple,2018-05-20,455.26
Google,2018-01-19,409.7
Amazon,2017-06-18,170.31
Amazon,2019-10-22,345.0
Apple,2018-08-21,844.18
Microsoft,2018-05-13,618.31
Tesla,2022-10-19,1654.58
Tesla,2018-12-01,969.83
Microsoft,2018-07-24,420.28
Amazon,2016-03-21,1327.09
Tesla,2017-12-04,1147.71
Amazon,2023-12-11,895.91
Microsoft,2014-06-06,1320.3
Microsoft,2016-04-06,538.31
Amazon,2023-04-25,1721.61
Amazon,2022-04-13,1822.66
Amazon,2023-08-24,817.55
Tesla,2022-08-09,776.87
Tesla,2019-12-27,1800.74
Tesla,2016-08-28,836.37
Microsoft,2021-01-17,1010.89
Tesla,2022-02-14,372.52
Netflix,2018-02-28,128.91
Netflix,2021-05-15,1356.13
Apple,2023-09-06,1507.47
Google,2023-04-26,1157.79
Amazon,2016-08-08,1847.28
Amazon,2024-05-19,1946.38
Apple,2018-12-10,1316.09
Tesla,2016-04-10,274.18
Amazon,2023-10-08,971.16
Netflix,2022-09-13,1601.97
Apple,2024-08-01,1286.99
Netflix,2022-05-26,1537.04
Tesla,2015-04-05,568.98
Google,2018-03-30,1047.11
Microsoft,2019-01-02,379.73
Microsoft,2014-07-21,713.14
Netflix,2017-09-25,789.65
Microsoft,2017-03-22,861.5
Google,2019-12-09,164.4
Tesla,2024-05-30,1477.79
Netflix,2022-06-27,1266.93
Tesla,2023-04-17,49.73
Tesla,2016-06-03,252.79
Microsoft,2024-04-23,964.07
Apple,2022-10-02,947.98
Tesla,2018-05-01,814.22
Tesla,2017-01-31,1119.44
Microsoft,2022-03-16,1485.28
Netflix,2020-03-26,1256.99
Microsoft,2020-04-23,1296.93
Amazon,2021-11-23,858.28
Netflix,2015-11-06,750.7
Microsoft,2022-10-04,1143.7
Netflix,2018-06-17,89.99
Tesla,2024-05-28,759.2
Netflix,2020-05-29,1017.0
Microsoft,2016-07-12,336.12
Apple,2014-08-21,1378.8
Netflix,2016-09-16,1306.9
Microsoft,2024-04-23,1973.12
Tesla,2024-04-21,995.54
Microsoft,2016-06-21,289.72
Tesla,2019-08-27,879.99
Tesla,2023-07-31,753.53
Microsoft,2023-04-08,1267.94
Google,2018-02-11,1325.62
Microsoft,2018-05-11,555.1
Netflix,2021-04-26,704.1
Netflix,2023-12-09,295.15
Google,2020-08-07,1765.35
Google,2018-12-29,1964.34
Microsoft,2023-07-16,594.24
Tesla,2023-03-20,335.65
Netflix,2020-05-04,1493.89
Amazon,2015-06-28,1996.8
Apple,2017-03-20,1493.72
Amazon,2023-08-08,311.24
Netflix,2017-11-01,1528.06
Microsoft,2014-10-14,1759.0
Amazon,2024-10-06,353.9
Netflix,2017-03-01,1770.47
Microsoft,2021-11-01,619.2
Tesla,2016-12-11,317.36
Amazon,2023-05-21,1754.31
Tesla,2020-07-03,324.89
Apple,2014-03-07,605.38
Amazon,2016-04-28,609.07
Tesla,2021-11-06,70.87
Apple,2022-06-04,525.81
Netflix,2017-03-13,1765.19
Tesla,2014-10-27,1583.37
Microsoft,2019-06-20,1905.67
Google,2019-02-09,1137.83
Microsoft,2021-04-14,589.56
Google,2017-04-12,738.28
Google,2024-03-16,1524.49
Apple,2023-08-08,714.88
Amazon,2024-04-18,1215.13
Tesla,2023-04-02,1029.25
Tesla,2024-04-16,1330.34
Amazon,2016-02-12,1555.43
Microsoft,2021-03-16,902.55
Microsoft,2015-07-19,577.55
Tesla,2024-01-17,1632.54
Tesla,2014-11-05,628.71
Apple,2020-01-23,655.99
Google,2022-12-17,1782.42
Amazon,2016-01-26,1182.21
Netflix,2016-02-14,982.24
Amazon,2017-04-04,1432.04
Microsoft,2018-01-23,1075.69
Amazon,2022-04-07,1235.26
Google,2023-12-02,921.63
Google,2022-04-13,907.2
Amazon,2018-07-18,1505.83
Microsoft,2017-11-07,1190.79
Netflix,2014-05-21,880.54
Tesla,2015-07-16,201.54
Tesla,2014-10-11,1966.79
Tesla,2018-04-04,950.29
Netflix,2017-10-18,36.78
Amazon,2015-10-05,1327.86
Tesla,2022-09-06,409.71
Netflix,2024-05-04,1573.76
Microsoft,2015-01-24,329.42
Netflix,2016-06-12,289.12
Tesla,2015-01-09,1367.24
Amazon,2014-02-19,462.3
Apple,2023-11-28,1350.77
Amazon,2014-04-14,1342.18
Tesla,2023-02-12,1049.57
Amazon,2024-10-28,958.87
Tesla,2023-04-18,1607.03
Amazon,2017-10-21,1546.82
Netflix,2022-01-25,1432.31
Apple,2019-11-15,690.17
Netflix,2023-09-02,714.48
Apple,2021-11-07,994.44
Amazon,2014-06-29,126.32
Microsoft,2016-12-17,392.57
Tesla,2020-11-01,96.68
Tesla,2017-05-22,1673.33
Tesla,2019-11-20,126.33
Google,2024-12-14,1361.08
Google,2017-08-11,248.41
Apple,2022-02-28,757.44
Google,2015-04-06,939.05
Amazon,2021-10-31,289.66
Apple,2021-12-05,1575.29
Netflix,2019-05-02,213.66
Tesla,2014-11-13,660.99
Apple,2015-09-28,1238.51
Microsoft,2017-07-06,889.97
Microsoft,2023-11-05,336.67
Microsoft,2021-03-26,1857.77
Google,2017-07-26,787.38
Netflix,2022-05-25,916.17
Amazon,2021-12-26,1317.42
Microsoft,2016-03-05,1026.35
Amazon,2018-07-14,1447.88
Netflix,2023-04-19,502.38
Amazon,2021-05-12,807.77
Tesla,2019-08-01,1480.06
Amazon,2014-10-26,151.8
Apple,2021-06-24,684.86
Netflix,2017-10-06,195.87
Amazon,2021-03-16,838.6
Microsoft,2017-09-19,1839.65
Netflix,2021-02-18,1429.33
Microsoft,2015-12-23,962.21
Microsoft,2024-10-08,1478.31
Tesla,2018-05-08,408.23
Google,2014-01-09,685.81
Apple,2021-10-24,985.16
Microsoft,2016-11-21,1799.73
Google,2019-06-19,1192.99
Google,2016-07-11,1000.31
Netflix,2018-04-19,1026.83
Netflix,2024-10-16,1273.33
Microsoft,2014-05-26,711.35
Microsoft,2024-09-07,1211.13
Apple,2023-01-15,396.52
Microsoft,2016-10-10,371.33
Netflix,2018-06-01,138.62
Google,2015-07-09,792.74
Netflix,2021-01-04,358.25
Microsoft,2023-08-11,512.54
Apple,2024-03-17,1420.83
Google,2019-06-19,1938.76
Netflix,2015-08-24,448.68
Netflix,2019-11-06,871.58
Microsoft,2017-12-07,1829.04
Netflix,2019-11-15,1608.93
Microsoft,2017-11-26,473.73
Tesla,2017-10-14,218.24
Apple,2023-06-09,1065.53
Amazon,2019-04-19,1350.56
Apple,2019-01-02,922.14
Netflix,2022-03-07,1763.27
Netflix,2019-04-21,895.07
Microsoft,2015-11-25,1242.37
Microsoft,2018-03-01,1223.08
Tesla,2023-07-19,1784.85
Amazon,2024-09-22,1730.12
Google,2018-04-19,1608.95
Apple,2015-07-12,660.21
Microsoft,2022-02-09,1182.71
Tesla,2022-02-25,1435.2
Amazon,2018-07-14,430.73
Netflix,2015-09-01,1412.19
Microsoft,2015-06-26,1336.34
Google,2023-06-29,444.16
Tesla,2018-09-10,1932.69
Microsoft,2017-01-21,309.76
Netflix,2022-11-22,331.51
Tesla,2021-10-11,634.84
Amazon,2022-01-05,93.1
Microsoft,2018-02-14,771.04
Amazon,2023-03-16,1409.89
Tesla,2016-12-15,894.14
Microsoft,2018-10-27,270.27
Netflix,2022-12-25,1519.01
Apple,2021-07-25,278.23
Microsoft,2021-08-20,1368.68
Netflix,2019-06-21,282.27
Netflix,2017-06-28,695.16
Amazon,2016-09-20,1734.34
Microsoft,2014-06-23,771.4
Apple,2024-06-22,255.96
Apple,2014-11-13,94.15
Microsoft,2014-03-08,1645.34
Amazon,2021-07-09,58.66
Microsoft,2015-11-20,1064.58
Tesla,2024-06-04,1969.46
Amazon,2021-11-06,1623.65
Microsoft,2023-04-20,1491.81
Microsoft,2015-07-12,1064.91
Google,2019-01-06,1864.62
Tesla,2022-03-03,1972.63
Microsoft,2016-02-10,1241.5
Apple,2023-02-13,1541.65
Apple,2024-08-22,165.94
Google,2020-03-25,1893.33
Microsoft,2014-07-17,963.99
Netflix,2022-03-18,1944.09
Netflix,2021-07-14,1738.86
Amazon,2017-03-26,136.74
Amazon,2019-03-31,1227.01
Tesla,2024-02-06,1796.06
Microsoft,2014-11-20,410.78
Apple,2016-04-29,1435.78
Amazon,2019-06-13,752.44
Microsoft,2014-10-22,563.59
Microsoft,2021-03-02,63.31
Google,2016-09-10,1435.08
Apple,2022-05-19,904.49
Google,2017-06-09,468.44
Tesla,2021-12-08,770.39
Amazon,2014-11-13,830.72
Netflix,2020-07-17,1215.73
Netflix,2022-12-05,845.17
Apple,2020-03-04,666.95
Netflix,2018-11-11,1385.84
Tesla,2014-05-10,1299.97
Amazon,2019-09-07,1156.55
Microsoft,2024-09-26,309.16
Netflix,2018-04-20,569.38
Microsoft,2019-03-29,122.22
Netflix,2018-05-23,1732.78
Netflix,2020-01-27,1641.41
Tesla,2020-02-21,616.83
Microsoft,2017-06-24,275.7
Microsoft,2021-09-12,1840.1
Amazon,2017-04-08,1251.5
Apple,2015-07-14,1096.45
Microsoft,2017-07-09,1909.55
Microsoft,2017-05-17,1638.0
Tesla,2024-09-22,106.68
Amazon,2016-03-29,1066.64
Netflix,2016-05-22,572.27
Netflix,2022-10-25,775.37
Microsoft,2024-05-16,770.32
Apple,2018-06-02,1630.92
Apple,2015-05-14,1588.43
Apple,2016-09-06,1937.55
Microsoft,2024-06-29,870.25
Apple,2023-02-25,1673.41
Microsoft,2022-03-31,327.16
Google,2021-01-03,1662.41
Microsoft,2020-05-08,1862.43
Netflix,2024-10-06,639.09
Google,2018-02-23,1391.32
Netflix,2019-08-16,138.51
Microsoft,2019-04-25,1960.33
Tesla,2022-07-02,68.92
Apple,2018-09-25,1771.07
Netflix,2022-08-27,136.23
Netflix,2023-02-23,1243.28
Microsoft,2019-04-02,1551.89
Tesla,2021-10-22,71.6
Amazon,2014-07-13,1648.11
Apple,2023-06-03,103.76
Microsoft,2016-05-02,58.35
Amazon,2015-07-20,897.96
Google,2022-05-05,1560.75
Google,2022-01-19,1400.46
Google,2021-03-04,330.44
Netflix,2016-02-27,1758.36
Amazon,2017-01-15,180.53
Google,2022-03-26,731.27
Google,2024-11-23,166.86
Tesla,2015-07-02,1570.01
Amazon,2020-02-24,883.26
Apple,2022-08-20,412.25
Netflix,2015-03-02,1678.86
Netflix,2015-04-08,250.5
Tesla,2015-09-16,90.62
Microsoft,2017-02-25,28.36
Amazon,2022-02-14,578.92
Microsoft,2022-04-04,1929.62
Microsoft,2015-02-02,1651.2
Google,2014-05-29,1937.16
Netflix,2022-02-19,40.28
Tesla,2015-01-02,1582.3
Amazon,2023-12-30,1965.68
Apple,2020-03-14,483.11
Microsoft,2021-09-21,1352.7
Microsoft,2015-09-26,110.0
Apple,2018-11-20,1685.65
Microsoft,2020-06-22,1561.06
Apple,2017-01-09,267.58
Apple,2022-08-03,862.72
Amazon,2015-11-08,1843.37
Tesla,2015-03-22,1537.22
Apple,2015-05-06,467.25
Google,2023-05-21,1043.58
Apple,2021-08-18,19.17
Tesla,2023-09-13,1014.22
Microsoft,2020-09-30,1981.68
Netflix,2015-10-14,653.32
Amazon,2024-07-21,1893.37
Microsoft,2016-03-19,563.27
Apple,2014-01-28,643.86
Amazon,2023-02-12,1256.68
Microsoft,2019-07-17,1105.54
Apple,2014-04-29,124.14
Google,2015-02-03,1475.68
Microsoft,2014-10-01,1510.56
Microsoft,2016-10-25,782.65
Netflix,2024-10-06,30.49
Netflix,2020-12-16,1356.16
Apple,2019-01-09,1807.04
Google,2017-07-02,98.81
Microsoft,2024-05-06,1270.89
Tesla,2016-01-19,137.07
Microsoft,2019-08-30,1544.76
Tesla,2021-05-11,999.87
Amazon,2019-12-08,717.99
Amazon,2014-11-05,1359.74
Netflix,2022-09-06,1346.09
Google,2022-03-14,1465.85
Microsoft,2014-12-20,982.92
Tesla,2021-09-29,73.79
Netflix,2023-12-06,430.84
Tesla,2022-05-17,420.16
Google,2022-06-22,1503.55
Netflix,2019-03-30,169.2
Tesla,2022-07-17,269.02
Tesla,2019-06-09,1770.11
Amazon,2019-01-20,1005.1
Apple,2019-10-19,353.31
Netflix,2014-02-22,1736.0
Netflix,2015-11-04,1623.64
Microsoft,2021-10-06,1569.45
Apple,2014-10-15,830.94
Tesla,2021-07-07,254.96
Google,2024-12-13,884.81
Tesla,2019-08-03,1099.19
Netflix,2023-10-26,1394.51
Apple,2017-07-24,1216.26
Amazon,2018-12-24,1895.32
Google,2024-05-29,311.39
Amazon,2019-04-09,1045.85
Amazon,2020-07-15,1956.39
Google,2022-11-01,1735.27
Netflix,2016-07-29,554.0
Netflix,2021-08-05,960.99
Google,2021-07-22,510.31
Amazon,2020-11-27,13.88
Amazon,2020-03-03,382.39
Netflix,2018-06-13,770.32
Google,2019-11-13,876.77
